Kode_Desa,n_flagged_records,dominant_typology,top_rda_feature,persistence_score,years_flagged,Nama_Desa
1505062010,2,Unclassified,avg_completion,0.6667,2,Lopak Alai
1504072007,5,Unclassified,cost_per_unit,0.6667,2,Batin
1504072008,3,T1_Markup,avg_completion,0.6667,2,Mekar Jaya
1504072010,2,T7_CrossCatDump,avg_completion,0.6667,2,Mekar Sari Nes
1504082003,3,T1_Markup,activity_category,0.6667,2,Kehidupan Baru
1504082004,4,T1_Markup,avg_completion,0.6667,2,Bukit Sari
1504082006,6,T1_Markup,avg_completion,0.6667,2,Terusan
1504082007,3,T2_Ghost,activity_category,0.6667,2,Danau Embat
1505012007,2,T1_Markup,activity_category,0.6667,2,Mendalo Darat
1505012008,2,Unclassified,avg_completion,0.6667,2,Rengas Bandung
1505012021,2,T1_Markup,activity_category,0.6667,2,Mendalo Indah
1505022003,6,T1_Markup,avg_completion,0.6667,2,Pulau Kayu Aro
1505022005,5,T2_Ghost,avg_completion,0.6667,2,Tan Tan
1502122009,2,T1_Markup,activity_category,0.6667,2,Pelangki
1502132001,2,T1_Markup,cost_per_unit,0.6667,2,Tanjung Lamin
1505072025,3,T1_Markup,activity_category,0.6667,2,Mekar Sari Makmur
1505072034,2,Unclassified,activity_category,0.6667,2,Panca Bakti
1505082003,3,T7_CrossCatDump,cost_per_unit,0.6667,2,Talang Kerinci
1505082005,2,T1_Markup,activity_category,0.6667,2,Tangkit
1505082009,4,T1_Markup,activity_category,0.6667,2,Petaling Jaya
1505082010,2,T7_CrossCatDump,cost_per_unit,0.6667,2,Sumber Agung
1505082013,5,T2_Ghost,avg_completion,0.6667,2,Mekar Jaya
1505022007,3,Unclassified,activity_category,0.6667,2,Keranggan
1505022009,3,T1_Markup,cost_per_unit,0.6667,2,Sekernan
1505032001,2,Unclassified,activity_category,0.6667,2,Puding
1505032017,3,T1_Markup,activity_category,0.6667,2,Mekar Sari
1505042004,2,T1_Markup,cost_deviation_by_category,0.6667,2,Jambi Tulo
1505042006,2,T1_Markup,cost_deviation_by_category,0.6667,2,Danau Lamo
1505042017,2,T1_Markup,activity_category,0.6667,2,Bakung
1505042018,3,T1_Markup,avg_completion,0.6667,2,Danau Kedap
1505052011,2,T1_Markup,avg_completion,0.6667,2,Tanjung Pauh Km. 39
1505102004,3,T7_CrossCatDump,activity_category,0.6667,2,Ujung Tanjung
1505102006,5,T7_CrossCatDump,avg_completion,0.6667,2,Tanjung Mulia
1505102008,2,T1_Markup,cost_deviation_by_category,0.6667,2,Bukit Jaya
1505102010,3,T1_Markup,activity_category,0.6667,2,Tanjung Lebar
1505112002,2,T1_Markup,avg_completion,0.6667,2,Talang Duku
1505112007,4,T1_Markup,cost_per_unit,0.6667,2,Sekumbung
1506012004,2,Unclassified,avg_completion,0.6667,2,Pematang Pauh
1506012019,2,Unclassified,avg_completion,0.6667,2,Gemuruh
1506032018,2,Unclassified,avg_completion,0.6667,2,Karya Maju
1506042008,2,Unclassified,avg_completion,0.6667,2,Makmur Jaya
1505062013,3,T1_Markup,cost_per_unit,0.6667,2,Teluk Raya
1505062024,2,Unclassified,avg_completion,0.6667,2,Kasang Kota Karang
1505072007,2,T7_CrossCatDump,cost_per_unit,0.6667,2,Marga Manunggal Jaya
1505072012,2,T1_Markup,avg_completion,0.6667,2,Tanjung Harapan
1505072013,2,Unclassified,activity_category,0.6667,2,Berkah
1505072021,3,T7_CrossCatDump,avg_completion,0.6667,2,Bukit Mas
1502092008,2,T2_Ghost,activity_category,0.6667,2,Tanjung Dalam
1502102001,4,T7_CrossCatDump,avg_completion,0.6667,2,Pulau Rengas
1502102002,2,Unclassified,avg_completion,0.6667,2,Biuku Tanjung
1502102004,2,T1_Markup,avg_completion,0.6667,2,Sungai Putih
1502102005,2,T2_Ghost,cost_deviation_by_category,0.6667,2,Bukit Beringin
