Kode_Desa,years_flagged,n_years,persistence_score,priority_tier,Nama_Desa
1501202009,3,3,1.0,Tier 1 – High Priority,Pengasi Lama
1501202011,3,3,1.0,Tier 1 – High Priority,Pulausangkar
1501202012,3,3,1.0,Tier 1 – High Priority,Bintang Marak
1508142001,3,3,1.0,Tier 1 – High Priority,Muara Buat
1508142002,3,3,1.0,Tier 1 – High Priority,Buat
1508142003,3,3,1.0,Tier 1 – High Priority,Laman Panjang
1508142004,3,3,1.0,Tier 1 – High Priority,Karak Apung
1508142005,3,3,1.0,Tier 1 – High Priority,Timbolasi
1508142006,3,3,1.0,Tier 1 – High Priority,Senamat Ulu
1508112005,3,3,1.0,Tier 1 – High Priority,Air Gemuruh
1508112006,3,3,1.0,Tier 1 – High Priority,Purwo Bakti
1508112007,3,3,1.0,Tier 1 – High Priority,Sarana Jaya
1508112008,3,3,1.0,Tier 1 – High Priority,Teluk Panjang
1508122003,3,3,1.0,Tier 1 – High Priority,Talang Pantai
1508122004,3,3,1.0,Tier 1 – High Priority,Sungai Arang
1508122005,3,3,1.0,Tier 1 – High Priority,Pulau Pekan
1508132003,3,3,1.0,Tier 1 – High Priority,Sungai Mengkuang
1508092017,3,3,1.0,Tier 1 – High Priority,Padang Palangeh
1508102002,3,3,1.0,Tier 1 – High Priority,Babeko
1508102003,3,3,1.0,Tier 1 – High Priority,Sepunggur
1508102004,3,3,1.0,Tier 1 – High Priority,Simpang Bebeko
1508102006,3,3,1.0,Tier 1 – High Priority,Tuo Sepunggur
1508112002,3,3,1.0,Tier 1 – High Priority,Lubuk Benteng
1508092009,3,3,1.0,Tier 1 – High Priority,Sumber Mulya
1508092010,3,3,1.0,Tier 1 – High Priority,Maju Jaya
1508092011,3,3,1.0,Tier 1 – High Priority,Tirta Mulya
1508092012,3,3,1.0,Tier 1 – High Priority,Lingga Kuamang
1508092013,3,3,1.0,Tier 1 – High Priority,Bangun Harjo
1508092014,3,3,1.0,Tier 1 – High Priority,Kuning gading
1508092015,3,3,1.0,Tier 1 – High Priority,Kuamang Jaya
1508092016,3,3,1.0,Tier 1 – High Priority,Karya Harapan Mukti
1502042009,3,3,1.0,Tier 1 – High Priority,Palipan
1502042010,3,3,1.0,Tier 1 – High Priority,Seringat
1502032018,3,3,1.0,Tier 1 – High Priority,Rantau Panjang
1502032024,3,3,1.0,Tier 1 – High Priority,Pasar Muara Siau
1502032027,3,3,1.0,Tier 1 – High Priority,Sepantai Renah
1502032028,3,3,1.0,Tier 1 – High Priority,Sungai Ulas
1502032011,3,3,1.0,Tier 1 – High Priority,Teluk Sikumbang
1502032015,3,3,1.0,Tier 1 – High Priority,Air Lago
1502032016,3,3,1.0,Tier 1 – High Priority,Badak Tekurung
1502012024,3,3,1.0,Tier 1 – High Priority,Koto Rawang
1502022004,3,3,1.0,Tier 1 – High Priority,Kungkai
1502022008,3,3,1.0,Tier 1 – High Priority,Mudo
1502022012,3,3,1.0,Tier 1 – High Priority,Langling
1502022024,3,3,1.0,Tier 1 – High Priority,Sungai Kapas
1502072014,3,3,1.0,Tier 1 – High Priority,Muaro Seketuk
1502082001,3,3,1.0,Tier 1 – High Priority,Sungai Sahut
1502082004,3,3,1.0,Tier 1 – High Priority,Sinar Gading
1502082006,3,3,1.0,Tier 1 – High Priority,Rawa Jaya
1502062015,3,3,1.0,Tier 1 – High Priority,Sialang
1502072010,3,3,1.0,Tier 1 – High Priority,Kapuk
1502072012,3,3,1.0,Tier 1 – High Priority,Rantau Ngarau
1502062006,3,3,1.0,Tier 1 – High Priority,Empang Benao
1502062007,3,3,1.0,Tier 1 – High Priority,Rejo Sari
1502062009,3,3,1.0,Tier 1 – High Priority,Keroya
1502062011,3,3,1.0,Tier 1 – High Priority,Karang Berahi
1502062014,3,3,1.0,Tier 1 – High Priority,Tanah Abang
1508092001,3,3,1.0,Tier 1 – High Priority,Koto Jayo
1508092002,3,3,1.0,Tier 1 – High Priority,Danau
1508092004,3,3,1.0,Tier 1 – High Priority,Lubuk
1508092006,3,3,1.0,Tier 1 – High Priority,Lembah Kuamang
1508092007,3,3,1.0,Tier 1 – High Priority,Sumber Harapan
1508092008,3,3,1.0,Tier 1 – High Priority,Daya Murni
1508082002,3,3,1.0,Tier 1 – High Priority,Tanjung Agung
1508082006,3,3,1.0,Tier 1 – High Priority,Tebing Tinggi
1508082009,3,3,1.0,Tier 1 – High Priority,Pekan Jum'at
1508072008,3,3,1.0,Tier 1 – High Priority,Baru Lbk. Mengkuang
1508072009,3,3,1.0,Tier 1 – High Priority,Lbk. Tanah Terban
1508072011,3,3,1.0,Tier 1 – High Priority,Renah Sungai Ipuh
1508062015,3,3,1.0,Tier 1 – High Priority,Sekampil
1508072001,3,3,1.0,Tier 1 – High Priority,Tanjung Bungo
1508072002,3,3,1.0,Tier 1 – High Priority,Tuo Lbk. Mengkuang
1508072003,3,3,1.0,Tier 1 – High Priority,Pauh Agung
1508072004,3,3,1.0,Tier 1 – High Priority,Tuo Limbur
1508072005,3,3,1.0,Tier 1 – High Priority,Renah Sungai Besar
1508072006,3,3,1.0,Tier 1 – High Priority,Muaro Tebo Pandak
1502112003,3,3,1.0,Tier 1 – High Priority,Telun
1502112004,3,3,1.0,Tier 1 – High Priority,Nalo Gedang
1502112005,3,3,1.0,Tier 1 – High Priority,Baru Nalo
1502112006,3,3,1.0,Tier 1 – High Priority,Mentawak
1502112007,3,3,1.0,Tier 1 – High Priority,Danau
1502122003,3,3,1.0,Tier 1 – High Priority,Pulau Baru
1502102001,3,3,1.0,Tier 1 – High Priority,Pulau Rengas
1502102003,3,3,1.0,Tier 1 – High Priority,Bedeng Rejo
1502102004,3,3,1.0,Tier 1 – High Priority,Sungai Putih
1502102005,3,3,1.0,Tier 1 – High Priority,Bukit Beringin
1502102006,3,3,1.0,Tier 1 – High Priority,Pulau Rengas Ulu
1502112001,3,3,1.0,Tier 1 – High Priority,Sungai Ulak
1502112002,3,3,1.0,Tier 1 – High Priority,Aur Berduri
1502092008,3,3,1.0,Tier 1 – High Priority,Tanjung Dalam
1502092011,3,3,1.0,Tier 1 – High Priority,Talang Asal
1502092014,3,3,1.0,Tier 1 – High Priority,Talang Paruh
1502092003,3,3,1.0,Tier 1 – High Priority,Tuo
1502092004,3,3,1.0,Tier 1 – High Priority,Koto Rami
1502092006,3,3,1.0,Tier 1 – High Priority,Pasar Masurai
1508062007,3,3,1.0,Tier 1 – High Priority,Sungai Beringin
1508062008,3,3,1.0,Tier 1 – High Priority,Sungai Gurun
1508062009,3,3,1.0,Tier 1 – High Priority,Batu Kerbau
1508062010,3,3,1.0,Tier 1 – High Priority,Gapura Suci
1508062011,3,3,1.0,Tier 1 – High Priority,Mulya Bakti
1508052017,3,3,1.0,Tier 1 – High Priority,Pasar Rantau Embacang
1508052019,3,3,1.0,Tier 1 – High Priority,Tenam
1508062001,3,3,1.0,Tier 1 – High Priority,Baru Pelepat
1508062002,3,3,1.0,Tier 1 – High Priority,Dwi Karya Bakti
1508062003,3,3,1.0,Tier 1 – High Priority,Rantau Keloyang
1508062005,3,3,1.0,Tier 1 – High Priority,Rantel
1508062006,3,3,1.0,Tier 1 – High Priority,Senamat
1508052001,3,3,1.0,Tier 1 – High Priority,Teluk Pandak
1508052003,3,3,1.0,Tier 1 – High Priority,Empelu
1508052006,3,3,1.0,Tier 1 – High Priority,Pasar Lubuk Landai
1508052007,3,3,1.0,Tier 1 – High Priority,Sungai Gambir
1508052009,3,3,1.0,Tier 1 – High Priority,Candi
1508052010,3,3,1.0,Tier 1 – High Priority,Tanjung
1508052012,3,3,1.0,Tier 1 – High Priority,Tanah Bekali
1508042003,3,3,1.0,Tier 1 – High Priority,Pulau Jelmu
1508042004,3,3,1.0,Tier 1 – High Priority,Sirih Sekapur
1508042005,3,3,1.0,Tier 1 – High Priority,Ujung Tanjung
1508042013,3,3,1.0,Tier 1 – High Priority,Talang Pamesun
1508042014,3,3,1.0,Tier 1 – High Priority,Baru Balai Panjang
1508042015,3,3,1.0,Tier 1 – High Priority,Sirih Sekapur Perkembangan
1502162001,3,3,1.0,Tier 1 – High Priority,Muaro Panco Barat
1502162002,3,3,1.0,Tier 1 – High Priority,Talang Segegah
1502162005,3,3,1.0,Tier 1 – High Priority,Parit Ujung Tanjung
1502142002,3,3,1.0,Tier 1 – High Priority,Ulak Makam
1502142003,3,3,1.0,Tier 1 – High Priority,Air Batu
1502142006,3,3,1.0,Tier 1 – High Priority,Tunggul Bulin
1502152001,3,3,1.0,Tier 1 – High Priority,Sungai Limau
1502152002,3,3,1.0,Tier 1 – High Priority,Sungai Bulian
1502132002,3,3,1.0,Tier 1 – High Priority,Limbur Merangin
1502132006,3,3,1.0,Tier 1 – High Priority,Mampun Baru
1502132008,3,3,1.0,Tier 1 – High Priority,PulauTujuh
1502122004,3,3,1.0,Tier 1 – High Priority,Nibung
1502122005,3,3,1.0,Tier 1 – High Priority,Titian Teras
1502122006,3,3,1.0,Tier 1 – High Priority,Kedarasan Panjang
1502132001,3,3,1.0,Tier 1 – High Priority,Tanjung Lamin
1502182012,3,3,1.0,Tier 1 – High Priority,Jangkat
1502182013,3,3,1.0,Tier 1 – High Priority,Tanjung Alam
1502192001,3,3,1.0,Tier 1 – High Priority,Meranti
1502192002,3,3,1.0,Tier 1 – High Priority,Bukit Bungkul
1502192003,3,3,1.0,Tier 1 – High Priority,Rasau
1502182004,3,3,1.0,Tier 1 – High Priority,Talang Tembago
1502182007,3,3,1.0,Tier 1 – High Priority,Rantau Suli
1502182011,3,3,1.0,Tier 1 – High Priority,Tanjung Benuang
1502162008,3,3,1.0,Tier 1 – High Priority,Air Batu
1502162009,3,3,1.0,Tier 1 – High Priority,Marus Jaya
1502172002,3,3,1.0,Tier 1 – High Priority,Bukit Perentak
1508022001,3,3,1.0,Tier 1 – High Priority,Rantau Duku
1508022005,3,3,1.0,Tier 1 – High Priority,Lubuk Kayu Aro
1508042002,3,3,1.0,Tier 1 – High Priority,Rantau Ikil
1508012004,3,3,1.0,Tier 1 – High Priority,Tanah Tumbuh
1508012005,3,3,1.0,Tier 1 – High Priority,Rambah
1508012006,3,3,1.0,Tier 1 – High Priority,Tebing Tinggi Uleh
1508012008,3,3,1.0,Tier 1 – High Priority,Panjang
1508012009,3,3,1.0,Tier 1 – High Priority,Perenti Luweh
1508012015,3,3,1.0,Tier 1 – High Priority,Renah Jelmu
1508012016,3,3,1.0,Tier 1 – High Priority,Koto Jayo
1507112003,3,3,1.0,Tier 1 – High Priority,Rantau Makmur
1507112006,3,3,1.0,Tier 1 – High Priority,Telaga Limo
1508012001,2,2,1.0,Tier 1 – High Priority,Pedukun
1508012002,3,3,1.0,Tier 1 – High Priority,Lubuk Niur
1508012003,3,3,1.0,Tier 1 – High Priority,Teluk Kecimbung
1507102004,3,3,1.0,Tier 1 – High Priority,Pandan Makmur
1507102005,3,3,1.0,Tier 1 – High Priority,Pandan Lagan
1507102006,3,3,1.0,Tier 1 – High Priority,Suka Maju
1507102008,3,3,1.0,Tier 1 – High Priority,Rantau Karya
1507102009,3,3,1.0,Tier 1 – High Priority,Pandan Sejahtera
1502232011,3,3,1.0,Tier 1 – High Priority,Tanjung Beringin
1502232012,3,3,1.0,Tier 1 – High Priority,Baru Kibul
1502232013,3,3,1.0,Tier 1 – High Priority,Ngaol Ilir
1502242001,3,3,1.0,Tier 1 – High Priority,Sekancing
1502242002,3,3,1.0,Tier 1 – High Priority,Sekancing Ilir
1502242003,3,3,1.0,Tier 1 – High Priority,Beringin Sanggul
1502232002,3,3,1.0,Tier 1 – High Priority,Tanjung Putus
1502232006,3,3,1.0,Tier 1 – High Priority,Telentam
1502232009,3,3,1.0,Tier 1 – High Priority,Pulau Lebar
1502212006,3,3,1.0,Tier 1 – High Priority,Tegal Rejo
1502222001,3,3,1.0,Tier 1 – High Priority,Tambang Baru
1502222002,3,3,1.0,Tier 1 – High Priority,Sido Lego
